date,hour,location,event,predicted_visitors
2026-01-01,08:00,Main Entrance,Entry,16
2026-01-01,08:00,Elephant Bathing Area,River Observation,11
2026-01-01,08:00,Milk Feeding Nursery,Closed,9
2026-01-01,08:00,Museum,General Visit,9
2026-01-01,08:00,Souvenir Shop,Shopping,11
2026-01-01,09:00,Main Entrance,Entry,28
2026-01-01,09:00,Elephant Bathing Area,River Observation,18
2026-01-01,09:00,Milk Feeding Nursery,Bottle Feeding,19
2026-01-01,09:00,Museum,General Visit,15
2026-01-01,09:00,Souvenir Shop,Shopping,14
2026-01-01,10:00,Main Entrance,Entry,34
2026-01-01,10:00,Elephant Bathing Area,River Bathing,26
2026-01-01,10:00,Milk Feeding Nursery,Closed,24
2026-01-01,10:00,Museum,General Visit,22
2026-01-01,10:00,Souvenir Shop,Shopping,15
2026-01-01,11:00,Main Entrance,Entry,33
2026-01-01,11:00,Elephant Bathing Area,River Bathing,27
2026-01-01,11:00,Milk Feeding Nursery,Closed,24
2026-01-01,11:00,Museum,General Visit,20
2026-01-01,11:00,Souvenir Shop,Shopping,16
2026-01-01,12:00,Main Entrance,Entry,33
2026-01-01,12:00,Elephant Bathing Area,River Observation,23
2026-01-01,12:00,Milk Feeding Nursery,Closed,22
2026-01-01,12:00,Museum,General Visit,18
2026-01-01,12:00,Souvenir Shop,Shopping,11
2026-01-01,13:00,Main Entrance,Entry,35
2026-01-01,13:00,Elephant Bathing Area,River Observation,24
2026-01-01,13:00,Milk Feeding Nursery,Bottle Feeding,24
2026-01-01,13:00,Museum,General Visit,18
2026-01-01,13:00,Souvenir Shop,Shopping,13
2026-01-01,14:00,Main Entrance,Entry,40
2026-01-01,14:00,Elephant Bathing Area,River Bathing,24
2026-01-01,14:00,Milk Feeding Nursery,Closed,26
2026-01-01,14:00,Museum,General Visit,20
2026-01-01,14:00,Souvenir Shop,Shopping,13
2026-01-01,15:00,Main Entrance,Entry,30
2026-01-01,15:00,Elephant Bathing Area,River Bathing,23
2026-01-01,15:00,Milk Feeding Nursery,Closed,18
2026-01-01,15:00,Museum,General Visit,17
2026-01-01,15:00,Souvenir Shop,Shopping,10
2026-01-01,16:00,Main Entrance,Entry,20
2026-01-01,16:00,Elephant Bathing Area,River Observation,16
2026-01-01,16:00,Milk Feeding Nursery,Closed,13
2026-01-01,16:00,Museum,General Visit,13
2026-01-01,16:00,Souvenir Shop,Shopping,10
2026-01-01,17:00,Main Entrance,Entry,10
2026-01-01,17:00,Elephant Bathing Area,River Observation,6
2026-01-01,17:00,Milk Feeding Nursery,Bottle Feeding,5
2026-01-01,17:00,Museum,General Visit,5
2026-01-01,17:00,Souvenir Shop,Shopping,4
2026-01-02,08:00,Main Entrance,Entry,19
2026-01-02,08:00,Elephant Bathing Area,River Observation,13
2026-01-02,08:00,Milk Feeding Nursery,Closed,12
2026-01-02,08:00,Museum,General Visit,10
2026-01-02,08:00,Souvenir Shop,Shopping,11
2026-01-02,09:00,Main Entrance,Entry,27
2026-01-02,09:00,Elephant Bathing Area,River Observation,21
2026-01-02,09:00,Milk Feeding Nursery,Bottle Feeding,19
2026-01-02,09:00,Museum,General Visit,17
2026-01-02,09:00,Souvenir Shop,Shopping,15
2026-01-02,10:00,Main Entrance,Entry,36
2026-01-02,10:00,Elephant Bathing Area,River Bathing,35
2026-01-02,10:00,Milk Feeding Nursery,Closed,32
2026-01-02,10:00,Museum,General Visit,27
2026-01-02,10:00,Souvenir Shop,Shopping,18
2026-01-02,11:00,Main Entrance,Entry,41
2026-01-02,11:00,Elephant Bathing Area,River Bathing,34
2026-01-02,11:00,Milk Feeding Nursery,Closed,36
2026-01-02,11:00,Museum,General Visit,25
2026-01-02,11:00,Souvenir Shop,Shopping,22
2026-01-02,12:00,Main Entrance,Entry,31
2026-01-02,12:00,Elephant Bathing Area,River Observation,23
2026-01-02,12:00,Milk Feeding Nursery,Closed,24
2026-01-02,12:00,Museum,General Visit,18
2026-01-02,12:00,Souvenir Shop,Shopping,13
2026-01-02,13:00,Main Entrance,Entry,37
2026-01-02,13:00,Elephant Bathing Area,River Observation,26
2026-01-02,13:00,Milk Feeding Nursery,Bottle Feeding,27
2026-01-02,13:00,Museum,General Visit,20
2026-01-02,13:00,Souvenir Shop,Shopping,14
2026-01-02,14:00,Main Entrance,Entry,39
2026-01-02,14:00,Elephant Bathing Area,River Bathing,29
2026-01-02,14:00,Milk Feeding Nursery,Closed,30
2026-01-02,14:00,Museum,General Visit,22
2026-01-02,14:00,Souvenir Shop,Shopping,16
2026-01-02,15:00,Main Entrance,Entry,33
2026-01-02,15:00,Elephant Bathing Area,River Bathing,26
2026-01-02,15:00,Milk Feeding Nursery,Closed,26
2026-01-02,15:00,Museum,General Visit,21
2026-01-02,15:00,Souvenir Shop,Shopping,11
2026-01-02,16:00,Main Entrance,Entry,25
2026-01-02,16:00,Elephant Bathing Area,River Observation,18
2026-01-02,16:00,Milk Feeding Nursery,Closed,16
2026-01-02,16:00,Museum,General Visit,14
2026-01-02,16:00,Souvenir Shop,Shopping,11
2026-01-02,17:00,Main Entrance,Entry,11
2026-01-02,17:00,Elephant Bathing Area,River Observation,7
2026-01-02,17:00,Milk Feeding Nursery,Bottle Feeding,6
2026-01-02,17:00,Museum,General Visit,5
2026-01-02,17:00,Souvenir Shop,Shopping,5
2026-01-03,08:00,Main Entrance,Entry,20
2026-01-03,08:00,Elephant Bathing Area,River Observation,11
2026-01-03,08:00,Milk Feeding Nursery,Closed,11
2026-01-03,08:00,Museum,General Visit,8
2026-01-03,08:00,Souvenir Shop,Shopping,5
2026-01-03,09:00,Main Entrance,Entry,31
2026-01-03,09:00,Elephant Bathing Area,River Observation,21
2026-01-03,09:00,Milk Feeding Nursery,Bottle Feeding,18
2026-01-03,09:00,Museum,General Visit,16
2026-01-03,09:00,Souvenir Shop,Shopping,9
2026-01-03,10:00,Main Entrance,Entry,34
2026-01-03,10:00,Elephant Bathing Area,River Bathing,27
2026-01-03,10:00,Milk Feeding Nursery,Closed,23
2026-01-03,10:00,Museum,General Visit,21
2026-01-03,10:00,Souvenir Shop,Shopping,17
2026-01-03,11:00,Main Entrance,Entry,41
2026-01-03,11:00,Elephant Bathing Area,River Bathing,25
