display_date,hour_int,display_loc,display_event,predicted_count
2026-01-01,8,Main Entrance,Entry,82
2026-01-01,8,Elephant Bathing Area,River Observation,82
2026-01-01,8,Fruit Feeding Centre,General Visit,82
2026-01-01,8,Milk Feeding Nursery,Closed,82
2026-01-01,8,Museum,General Visit,82
2026-01-01,8,Souvenir Shop,General Visit,82
2026-01-01,9,Main Entrance,Entry,139
2026-01-01,9,Elephant Bathing Area,River Observation,139
2026-01-01,9,Fruit Feeding Centre,General Visit,139
2026-01-01,9,Milk Feeding Nursery,Bottle Feeding,139
2026-01-01,9,Museum,General Visit,139
2026-01-01,9,Souvenir Shop,General Visit,139
2026-01-01,10,Main Entrance,Entry,139
2026-01-01,10,Elephant Bathing Area,River Bathing,139
2026-01-01,10,Fruit Feeding Centre,General Visit,139
2026-01-01,10,Milk Feeding Nursery,Closed,139
2026-01-01,10,Museum,General Visit,139
2026-01-01,10,Souvenir Shop,General Visit,139
2026-01-01,11,Main Entrance,Entry,148
2026-01-01,11,Elephant Bathing Area,River Bathing,148
2026-01-01,11,Fruit Feeding Centre,General Visit,148
2026-01-01,11,Milk Feeding Nursery,Closed,148
2026-01-01,11,Museum,General Visit,148
2026-01-01,11,Souvenir Shop,General Visit,148
2026-01-01,12,Main Entrance,Entry,89
2026-01-01,12,Elephant Bathing Area,River Observation,89
2026-01-01,12,Fruit Feeding Centre,General Visit,89
2026-01-01,12,Milk Feeding Nursery,Closed,89
2026-01-01,12,Museum,General Visit,89
2026-01-01,12,Souvenir Shop,General Visit,89
2026-01-01,13,Main Entrance,Entry,122
2026-01-01,13,Elephant Bathing Area,River Observation,122
2026-01-01,13,Fruit Feeding Centre,General Visit,122
2026-01-01,13,Milk Feeding Nursery,Bottle Feeding,122
2026-01-01,13,Museum,General Visit,122
2026-01-01,13,Souvenir Shop,General Visit,122
2026-01-01,14,Main Entrance,Entry,117
2026-01-01,14,Elephant Bathing Area,River Bathing,117
2026-01-01,14,Fruit Feeding Centre,General Visit,117
2026-01-01,14,Milk Feeding Nursery,Closed,117
2026-01-01,14,Museum,General Visit,117
2026-01-01,14,Souvenir Shop,General Visit,117
2026-01-01,15,Main Entrance,Entry,106
2026-01-01,15,Elephant Bathing Area,River Bathing,106
2026-01-01,15,Fruit Feeding Centre,General Visit,106
2026-01-01,15,Milk Feeding Nursery,Closed,106
2026-01-01,15,Museum,General Visit,106
2026-01-01,15,Souvenir Shop,General Visit,106
2026-01-01,16,Main Entrance,Entry,176
2026-01-01,16,Elephant Bathing Area,River Observation,176
2026-01-01,16,Fruit Feeding Centre,General Visit,176
2026-01-01,16,Milk Feeding Nursery,Closed,176
2026-01-01,16,Museum,General Visit,176
2026-01-01,16,Souvenir Shop,General Visit,176
2026-01-01,17,Main Entrance,Entry,120
2026-01-01,17,Elephant Bathing Area,River Observation,120
2026-01-01,17,Fruit Feeding Centre,General Visit,120
2026-01-01,17,Milk Feeding Nursery,Bottle Feeding,120
2026-01-01,17,Museum,General Visit,120
2026-01-01,17,Souvenir Shop,General Visit,120
2026-01-02,8,Main Entrance,Entry,74
2026-01-02,8,Elephant Bathing Area,River Observation,74
2026-01-02,8,Fruit Feeding Centre,General Visit,74
2026-01-02,8,Milk Feeding Nursery,Closed,74
2026-01-02,8,Museum,General Visit,74
2026-01-02,8,Souvenir Shop,General Visit,74
2026-01-02,9,Main Entrance,Entry,168
2026-01-02,9,Elephant Bathing Area,River Observation,168
2026-01-02,9,Fruit Feeding Centre,General Visit,168
2026-01-02,9,Milk Feeding Nursery,Bottle Feeding,168
2026-01-02,9,Museum,General Visit,168
2026-01-02,9,Souvenir Shop,General Visit,168
2026-01-02,10,Main Entrance,Entry,154
2026-01-02,10,Elephant Bathing Area,River Bathing,154
2026-01-02,10,Fruit Feeding Centre,General Visit,154
2026-01-02,10,Milk Feeding Nursery,Closed,154
2026-01-02,10,Museum,General Visit,154
2026-01-02,10,Souvenir Shop,General Visit,154
2026-01-02,11,Main Entrance,Entry,164
2026-01-02,11,Elephant Bathing Area,River Bathing,164
2026-01-02,11,Fruit Feeding Centre,General Visit,164
2026-01-02,11,Milk Feeding Nursery,Closed,164
2026-01-02,11,Museum,General Visit,164
2026-01-02,11,Souvenir Shop,General Visit,164
2026-01-02,12,Main Entrance,Entry,97
2026-01-02,12,Elephant Bathing Area,River Observation,97
2026-01-02,12,Fruit Feeding Centre,General Visit,97
2026-01-02,12,Milk Feeding Nursery,Closed,97
2026-01-02,12,Museum,General Visit,97
2026-01-02,12,Souvenir Shop,General Visit,97
2026-01-02,13,Main Entrance,Entry,119
2026-01-02,13,Elephant Bathing Area,River Observation,119
2026-01-02,13,Fruit Feeding Centre,General Visit,119
2026-01-02,13,Milk Feeding Nursery,Bottle Feeding,119
2026-01-02,13,Museum,General Visit,119
2026-01-02,13,Souvenir Shop,General Visit,119
2026-01-02,14,Main Entrance,Entry,118
2026-01-02,14,Elephant Bathing Area,River Bathing,118
2026-01-02,14,Fruit Feeding Centre,General Visit,118
2026-01-02,14,Milk Feeding Nursery,Closed,118
2026-01-02,14,Museum,General Visit,118
2026-01-02,14,Souvenir Shop,General Visit,118
2026-01-02,15,Main Entrance,Entry,92
2026-01-02,15,Elephant Bathing Area,River Bathing,92
