date,visitor_count,day_of_week,month,day_of_year
2023-01-01,2902,Sunday,1,1
2023-01-02,1691,Monday,1,2
2023-01-03,1753,Tuesday,1,3
2023-01-04,1557,Wednesday,1,4
2023-01-05,1576,Thursday,1,5
2023-01-06,1220,Friday,1,6
2023-01-07,3115,Saturday,1,7
2023-01-08,2599,Sunday,1,8
2023-01-09,1631,Monday,1,9
2023-01-10,1503,Tuesday,1,10
2023-01-11,1229,Wednesday,1,11
2023-01-12,1367,Thursday,1,12
2023-01-13,1353,Friday,1,13
2023-01-14,2325,Saturday,1,14
2023-01-15,2280,Sunday,1,15
2023-01-16,1555,Monday,1,16
2023-01-17,1762,Tuesday,1,17
2023-01-18,1723,Wednesday,1,18
2023-01-19,1729,Thursday,1,19
2023-01-20,1736,Friday,1,20
2023-01-21,2312,Saturday,1,21
2023-01-22,2339,Sunday,1,22
2023-01-23,1534,Monday,1,23
2023-01-24,1559,Tuesday,1,24
2023-01-25,1463,Wednesday,1,25
2023-01-26,1448,Thursday,1,26
2023-01-27,1351,Friday,1,27
2023-01-28,2641,Saturday,1,28
2023-01-29,2274,Sunday,1,29
2023-01-30,1208,Monday,1,30
2023-01-31,1549,Tuesday,1,31
2023-02-01,1561,Wednesday,2,32
2023-02-02,1220,Thursday,2,33
2023-02-03,1783,Friday,2,34
2023-02-04,2905,Saturday,2,35
2023-02-05,3088,Sunday,2,36
2023-02-06,1543,Monday,2,37
2023-02-07,1247,Tuesday,2,38
2023-02-08,1273,Wednesday,2,39
2023-02-09,1330,Thursday,2,40
2023-02-10,1441,Friday,2,41
2023-02-11,3213,Saturday,2,42
2023-02-12,2485,Sunday,2,43
2023-02-13,1346,Monday,2,44
2023-02-14,1796,Tuesday,2,45
2023-02-15,1685,Wednesday,2,46
2023-02-16,1260,Thursday,2,47
2023-02-17,1234,Friday,2,48
2023-02-18,3090,Saturday,2,49
2023-02-19,2381,Sunday,2,50
2023-02-20,1798,Monday,2,51
2023-02-21,1328,Tuesday,2,52
2023-02-22,1645,Wednesday,2,53
2023-02-23,1628,Thursday,2,54
2023-02-24,1490,Friday,2,55
2023-02-25,2796,Saturday,2,56
2023-02-26,3034,Sunday,2,57
2023-02-27,1221,Monday,2,58
2023-02-28,1529,Tuesday,2,59
2023-03-01,863,Wednesday,3,60
2023-03-02,1084,Thursday,3,61
2023-03-03,957,Friday,3,62
2023-03-04,1932,Saturday,3,63
2023-03-05,1746,Sunday,3,64
2023-03-06,924,Monday,3,65
2023-03-07,872,Tuesday,3,66
2023-03-08,901,Wednesday,3,67
2023-03-09,829,Thursday,3,68
2023-03-10,1144,Friday,3,69
2023-03-11,2120,Saturday,3,70
2023-03-12,1606,Sunday,3,71
2023-03-13,889,Monday,3,72
2023-03-14,1056,Tuesday,3,73
2023-03-15,1058,Wednesday,3,74
2023-03-16,837,Thursday,3,75
2023-03-17,1059,Friday,3,76
2023-03-18,1580,Saturday,3,77
2023-03-19,2005,Sunday,3,78
2023-03-20,1164,Monday,3,79
2023-03-21,1137,Tuesday,3,80
2023-03-22,941,Wednesday,3,81
2023-03-23,1064,Thursday,3,82
2023-03-24,1152,Friday,3,83
2023-03-25,1582,Saturday,3,84
2023-03-26,1448,Sunday,3,85
2023-03-27,833,Monday,3,86
2023-03-28,1172,Tuesday,3,87
2023-03-29,831,Wednesday,3,88
2023-03-30,894,Thursday,3,89
2023-03-31,1128,Friday,3,90
2023-04-01,1785,Saturday,4,91
2023-04-02,2134,Sunday,4,92
2023-04-03,959,Monday,4,93
2023-04-04,1172,Tuesday,4,94
2023-04-05,822,Wednesday,4,95
2023-04-06,874,Thursday,4,96
2023-04-07,1111,Friday,4,97
2023-04-08,1781,Saturday,4,98
2023-04-09,1751,Sunday,4,99
2023-04-10,1054,Monday,4,100
2023-04-11,1178,Tuesday,4,101
2023-04-12,924,Wednesday,4,102
2023-04-13,1147,Thursday,4,103
2023-04-14,815,Friday,4,104
2023-04-15,1445,Saturday,4,105
2023-04-16,2079,Sunday,4,106
2023-04-17,1004,Monday,4,107
2023-04-18,1089,Tuesday,4,108
2023-04-19,1122,Wednesday,4,109
2023-04-20,890,Thursday,4,110
2023-04-21,926,Friday,4,111
2023-04-22,1778,Saturday,4,112
2023-04-23,1794,Sunday,4,113
2023-04-24,1005,Monday,4,114
2023-04-25,1120,Tuesday,4,115
2023-04-26,1132,Wednesday,4,116
2023-04-27,875,Thursday,4,117
2023-04-28,809,Friday,4,118
2023-04-29,1910,Saturday,4,119
2023-04-30,1601,Sunday,4,120
2023-05-01,1117,Monday,5,121
2023-05-02,881,Tuesday,5,122
2023-05-03,986,Wednesday,5,123
2023-05-04,1177,Thursday,5,124
2023-05-05,895,Friday,5,125
2023-05-06,2061,Saturday,5,126
2023-05-07,1858,Sunday,5,127
2023-05-08,850,Monday,5,128
2023-05-09,800,Tuesday,5,129
2023-05-10,1000,Wednesday,5,130
2023-05-11,906,Thursday,5,131
2023-05-12,984,Friday,5,132
2023-05-13,2015,Saturday,5,133
2023-05-14,1735,Sunday,5,134
2023-05-15,885,Monday,5,135
2023-05-16,1092,Tuesday,5,136
2023-05-17,1160,Wednesday,5,137
2023-05-18,1067,Thursday,5,138
2023-05-19,960,Friday,5,139
2023-05-20,2009,Saturday,5,140
2023-05-21,1795,Sunday,5,141
2023-05-22,865,Monday,5,142
2023-05-23,846,Tuesday,5,143
2023-05-24,893,Wednesday,5,144
2023-05-25,806,Thursday,5,145
2023-05-26,812,Friday,5,146
2023-05-27,1849,Saturday,5,147
2023-05-28,1880,Sunday,5,148
2023-05-29,842,Monday,5,149
2023-05-30,1174,Tuesday,5,150
2023-05-31,1066,Wednesday,5,151
2023-06-01,1084,Thursday,6,152
2023-06-02,1013,Friday,6,153
2023-06-03,1648,Saturday,6,154
2023-06-04,1870,Sunday,6,155
2023-06-05,1014,Monday,6,156
2023-06-06,972,Tuesday,6,157
2023-06-07,996,Wednesday,6,158
2023-06-08,976,Thursday,6,159
2023-06-09,1055,Friday,6,160
2023-06-10,1707,Saturday,6,161
2023-06-11,1463,Sunday,6,162
2023-06-12,1140,Monday,6,163
2023-06-13,827,Tuesday,6,164
2023-06-14,1169,Wednesday,6,165
2023-06-15,984,Thursday,6,166
2023-06-16,1180,Friday,6,167
2023-06-17,2121,Saturday,6,168
2023-06-18,2055,Sunday,6,169
2023-06-19,1007,Monday,6,170
2023-06-20,924,Tuesday,6,171
2023-06-21,988,Wednesday,6,172
2023-06-22,1163,Thursday,6,173
2023-06-23,1122,Friday,6,174
2023-06-24,1705,Saturday,6,175
2023-06-25,1916,Sunday,6,176
2023-06-26,812,Monday,6,177
2023-06-27,1009,Tuesday,6,178
2023-06-28,814,Wednesday,6,179
2023-06-29,876,Thursday,6,180
2023-06-30,959,Friday,6,181
2023-07-01,1759,Saturday,7,182
2023-07-02,1948,Sunday,7,183
2023-07-03,1003,Monday,7,184
2023-07-04,1393,Tuesday,7,185
2023-07-05,1192,Wednesday,7,186
2023-07-06,1239,Thursday,7,187
2023-07-07,1371,Friday,7,188
2023-07-08,2158,Saturday,7,189
2023-07-09,2200,Sunday,7,190
2023-07-10,1120,Monday,7,191
2023-07-11,1379,Tuesday,7,192
2023-07-12,1110,Wednesday,7,193
2023-07-13,1308,Thursday,7,194
2023-07-14,1208,Friday,7,195
2023-07-15,2058,Saturday,7,196
2023-07-16,2125,Sunday,7,197
2023-07-17,1346,Monday,7,198
2023-07-18,1109,Tuesday,7,199
2023-07-19,1082,Wednesday,7,200
2023-07-20,1242,Thursday,7,201
2023-07-21,972,Friday,7,202
2023-07-22,2257,Saturday,7,203
2023-07-23,2060,Sunday,7,204
2023-07-24,1429,Monday,7,205
2023-07-25,1062,Tuesday,7,206
2023-07-26,1424,Wednesday,7,207
2023-07-27,1422,Thursday,7,208
2023-07-28,1388,Friday,7,209
2023-07-29,2398,Saturday,7,210
2023-07-30,2478,Sunday,7,211
2023-07-31,1039,Monday,7,212
2023-08-01,1261,Tuesday,8,213
2023-08-02,1035,Wednesday,8,214
2023-08-03,1310,Thursday,8,215
2023-08-04,1336,Friday,8,216
2023-08-05,2299,Saturday,8,217
2023-08-06,2521,Sunday,8,218
2023-08-07,1213,Monday,8,219
2023-08-08,1036,Tuesday,8,220
2023-08-09,1342,Wednesday,8,221
2023-08-10,1364,Thursday,8,222
2023-08-11,1245,Friday,8,223
2023-08-12,2232,Saturday,8,224
2023-08-13,1763,Sunday,8,225
2023-08-14,991,Monday,8,226
2023-08-15,1193,Tuesday,8,227
2023-08-16,1422,Wednesday,8,228
2023-08-17,1023,Thursday,8,229
2023-08-18,1011,Friday,8,230
2023-08-19,2045,Saturday,8,231
2023-08-20,2417,Sunday,8,232
2023-08-21,1042,Monday,8,233
2023-08-22,1094,Tuesday,8,234
2023-08-23,964,Wednesday,8,235
2023-08-24,1167,Thursday,8,236
2023-08-25,1319,Friday,8,237
2023-08-26,1994,Saturday,8,238
2023-08-27,2404,Sunday,8,239
2023-08-28,1054,Monday,8,240
2023-08-29,1139,Tuesday,8,241
2023-08-30,1362,Wednesday,8,242
2023-08-31,1033,Thursday,8,243
2023-09-01,1038,Friday,9,244
2023-09-02,1938,Saturday,9,245
2023-09-03,2088,Sunday,9,246
2023-09-04,1123,Monday,9,247
2023-09-05,908,Tuesday,9,248
2023-09-06,1067,Wednesday,9,249
2023-09-07,1132,Thursday,9,250
2023-09-08,1162,Friday,9,251
2023-09-09,1803,Saturday,9,252
2023-09-10,1644,Sunday,9,253
2023-09-11,1076,Monday,9,254
2023-09-12,1139,Tuesday,9,255
2023-09-13,1086,Wednesday,9,256
2023-09-14,985,Thursday,9,257
2023-09-15,1107,Friday,9,258
2023-09-16,1483,Saturday,9,259
2023-09-17,1560,Sunday,9,260
2023-09-18,985,Monday,9,261
2023-09-19,1010,Tuesday,9,262
2023-09-20,1157,Wednesday,9,263
2023-09-21,1059,Thursday,9,264
2023-09-22,1038,Friday,9,265
2023-09-23,1582,Saturday,9,266
2023-09-24,2021,Sunday,9,267
2023-09-25,1089,Monday,9,268
2023-09-26,951,Tuesday,9,269
2023-09-27,1145,Wednesday,9,270
2023-09-28,1194,Thursday,9,271
2023-09-29,985,Friday,9,272
2023-09-30,2101,Saturday,9,273
2023-10-01,1931,Sunday,10,274
2023-10-02,1160,Monday,10,275
2023-10-03,1043,Tuesday,10,276
2023-10-04,1056,Wednesday,10,277
2023-10-05,809,Thursday,10,278
2023-10-06,814,Friday,10,279
2023-10-07,1884,Saturday,10,280
2023-10-08,2028,Sunday,10,281
2023-10-09,1180,Monday,10,282
2023-10-10,1170,Tuesday,10,283
2023-10-11,860,Wednesday,10,284
2023-10-12,837,Thursday,10,285
2023-10-13,880,Friday,10,286
2023-10-14,1560,Saturday,10,287
2023-10-15,1858,Sunday,10,288
2023-10-16,1036,Monday,10,289
2023-10-17,933,Tuesday,10,290
2023-10-18,1035,Wednesday,10,291
2023-10-19,968,Thursday,10,292
2023-10-20,1140,Friday,10,293
2023-10-21,2137,Saturday,10,294
2023-10-22,1852,Sunday,10,295
2023-10-23,1108,Monday,10,296
2023-10-24,1010,Tuesday,10,297
2023-10-25,1025,Wednesday,10,298
2023-10-26,1055,Thursday,10,299
2023-10-27,834,Friday,10,300
2023-10-28,1644,Saturday,10,301
2023-10-29,1658,Sunday,10,302
2023-10-30,980,Monday,10,303
2023-10-31,1197,Tuesday,10,304
2023-11-01,627,Wednesday,11,305
2023-11-02,626,Thursday,11,306
2023-11-03,677,Friday,11,307
2023-11-04,1134,Saturday,11,308
2023-11-05,1284,Sunday,11,309
2023-11-06,592,Monday,11,310
2023-11-07,657,Tuesday,11,311
2023-11-08,542,Wednesday,11,312
2023-11-09,676,Thursday,11,313
2023-11-10,483,Friday,11,314
2023-11-11,1254,Saturday,11,315
2023-11-12,1257,Sunday,11,316
2023-11-13,611,Monday,11,317
2023-11-14,635,Tuesday,11,318
2023-11-15,572,Wednesday,11,319
2023-11-16,617,Thursday,11,320
2023-11-17,585,Friday,11,321
2023-11-18,1076,Saturday,11,322
2023-11-19,1216,Sunday,11,323
2023-11-20,546,Monday,11,324
2023-11-21,482,Tuesday,11,325
2023-11-22,672,Wednesday,11,326
2023-11-23,483,Thursday,11,327
2023-11-24,587,Friday,11,328
2023-11-25,966,Saturday,11,329
2023-11-26,1018,Sunday,11,330
2023-11-27,492,Monday,11,331
2023-11-28,602,Tuesday,11,332
2023-11-29,554,Wednesday,11,333
2023-11-30,524,Thursday,11,334
2023-12-01,1307,Friday,12,335
2023-12-02,2896,Saturday,12,336
2023-12-03,2786,Sunday,12,337
2023-12-04,1719,Monday,12,338
2023-12-05,1239,Tuesday,12,339
2023-12-06,1609,Wednesday,12,340
2023-12-07,1564,Thursday,12,341
2023-12-08,1741,Friday,12,342
2023-12-09,3192,Saturday,12,343
2023-12-10,2223,Sunday,12,344
2023-12-11,1365,Monday,12,345
2023-12-12,1495,Tuesday,12,346
2023-12-13,1775,Wednesday,12,347
2023-12-14,1650,Thursday,12,348
2023-12-15,1543,Friday,12,349
2023-12-16,2843,Saturday,12,350
2023-12-17,3178,Sunday,12,351
2023-12-18,1536,Monday,12,352
2023-12-19,1275,Tuesday,12,353
2023-12-20,1212,Wednesday,12,354
2023-12-21,1234,Thursday,12,355
2023-12-22,1538,Friday,12,356
2023-12-23,2748,Saturday,12,357
2023-12-24,2998,Sunday,12,358
2023-12-25,1455,Monday,12,359
2023-12-26,1444,Tuesday,12,360
2023-12-27,1546,Wednesday,12,361
2023-12-28,1204,Thursday,12,362
2023-12-29,1521,Friday,12,363
2023-12-30,2507,Saturday,12,364
2023-12-31,2510,Sunday,12,365
